 testset , BLEU  , chr-F , #sent , #words , BP 
 newsdiscussdev2015-enfr.eng-fra 	,33.8,0.60628,1500,27986,1.0
 newsdiscusstest2015-enfr.eng-fra 	,40.5,0.64981,1500,28027,0.995
 newssyscomb2009.eng-fra 	,30.7,0.58905,502,12334,1.0
 news-test2008.eng-fra 	,27.6,0.55516,2051,52685,1.0
 newstest2009.eng-fra 	,30.0,0.57909,2525,69278,0.988
 newstest2010.eng-fra 	,33.8,0.60293,2489,66043,0.996
 newstest2011.eng-fra 	,35.0,0.61632,3003,80626,0.973
 newstest2012.eng-fra 	,32.8,0.59737,3003,78011,0.985
 newstest2013.eng-fra 	,34.6,0.597,3000,70037,0.981
 Tatoeba-test-v2021-08-07.eng-fra 	,53.1,0.69526,10000,84216,0.983
 tico19-test.eng-fra 	,41.5,0.6347,2100,64655,0.974
