 testset , BLEU  , chr-F , #sent , #words , BP 
 newsdiscussdev2015-enfr.eng-fra 	,33.7,0.604,1500,27986,1.0
 newsdiscusstest2015-enfr.eng-fra 	,40.4,0.645,1500,28027,1.0
 newssyscomb2009.eng-fra 	,30.4,0.588,502,12334,1.0
 news-test2008.eng-fra 	,27.5,0.554,2051,52685,1.0
 newstest2009.eng-fra 	,29.7,0.579,2525,69278,0.99
 newstest2010.eng-fra 	,33.1,0.598,2489,66043,0.996
 newstest2011.eng-fra 	,34.4,0.612,3003,80626,0.977
 newstest2012.eng-fra 	,31.8,0.592,3003,78011,0.988
 newstest2013.eng-fra 	,33.4,0.591,3000,70037,0.98
 Tatoeba-test.eng-fra 	,50.6,0.669,10000,80769,0.981
 tico19-test.eng-fra 	,41.5,0.636,2100,64655,0.999
